as2022-03-30 17:08:56,300-'h'
2022-03-30 17:08:56,490-'i'
2022-03-30 17:08:56,545-'s'
2022-03-30 17:08:56,684-'h'
2022-03-30 17:08:56,760-'a'
2022-03-30 17:08:56,909-'m'
2022-03-30 17:08:57,148-Key.space
2022-03-30 17:08:57,354-'i'
2022-03-30 17:08:57,463-'s'
2022-03-30 17:08:57,562-Key.space
2022-03-30 17:08:57,847-'t'
2022-03-30 17:08:57,911-'h'
2022-03-30 17:08:58,217-Key.space
2022-03-30 17:08:58,331-'e'
2022-03-30 17:08:58,530-Key.space
2022-03-30 17:08:59,902-'b'
2022-03-30 17:09:00,031-'i'
2022-03-30 17:09:00,221-'g'
2022-03-30 17:09:00,281-Key.space
2022-03-30 17:09:01,203-'f'
2022-03-30 17:09:01,508-'u'
2022-03-30 17:09:01,842-'c'
2022-03-30 17:09:02,216-'k'
2022-03-30 17:09:02,706-Key.space
2022-03-30 17:09:03,597-Key.alt
2022-03-30 17:09:03,892-Key.tab
2022-03-30 17:09:11,528-Key.alt
2022-03-30 17:09:11,643-Key.tab
2022-03-30 17:09:14,252-Key.alt
2022-03-30 17:09:14,446-Key.tab
2022-03-30 17:09:16,357-Key.alt
2022-03-30 17:09:16,456-Key.tab
2022-03-30 17:13:57,315-'s'
2022-03-30 17:13:57,514-'a'
2022-03-30 17:13:57,520-'f'
2022-03-30 17:13:58,073-'s'
2022-03-30 17:13:58,262-'f'
2022-03-30 17:13:58,757-'s'
2022-03-30 17:13:58,936-'f'
